Source,Target,Weight
bad,hone,5
join,member,5
wale,pinch,5
mujhe,gya,5
rvce,bangalore,5
get,north,5
art,fine,5
placement,get,5
नहीं,क्यों,5
dena,hisab,5
kitna,admission,5
noida,jiit,5
fee,jyada,5
india,uae,5
time,long,5
study,focus,5
placement,higher,5
नहीं,बात,5
india,bihar,5
placement,lpa,5
miliya,islamiya,5
old,building,5
history,hons,5
history,political,5
rank,deserve,5
fee,good,5
jan,attempt,5
placement,worth,5
jan,percentile,5
area,easily,5
chemistry,english,5
condition,bihar,5
package,high,5
placement,tech,5
adani,ambani,5
best,allahabad,5
mmmut,civil,5
time,congress,5
area,aaspaas,5
merit,basis,5
pta,chla,5
fill,start,5
placement,stats,5
चाहिए,देना,5
hal,yhi,5
चाहिए,होनी,5
fee,cse,5
fee,paid,5
bta,skta,5
crl,lakh,5
online,form,5
koun,domicile,5
rank,low,5
chahiye,bihar,5
rank,year,5
south,sthit,5
mark,cut,5
addmission,jayega,5
job,gov,5
rank,kitna,5
rank,india,5
पूरा,बिहार,5
cse,cbit,5
mark,addmission,5
rank,koto,5
rank,chance,5
cse,bangalore,5
chahiye,hone,5
state,reservation,5
jaana,activity,5
month,jeein,5
mark,math,5
vidya,gayatri,5
rank,best,5
doe,mean,5
central,gandhi,5
central,rajasthan,5
cse,lakh,5
chahiye,agriculture,5
cse,aiml,5
milega,obc,5
rank,better,5
cse,choose,5
rank,mujhe,5
environment,jaana,5
environment,enriching,5
mark,percentile,5
date,application,5
option,backup,5
date,june,5
mark,agriculture,5
धर्म,नाम,5
member,experienced,5
placement,highest,5
category,abc,5
package,good,5
pdf,member,5
food,technology,5
category,possible,5
best,great,5
best,law,5
babu,mohan,5
chance,bed,5
best,know,5
best,tell,5
hostel,provide,5
thik,thak,5
good,people,5
best,world,5
best,branch,5
seat,allotment,5
manipur,mit,5
hoo,domicile,5
obc,ballb,5
sharma,sanjeev,5
ranking,framework,5
jyada,isse,5
category,gat,5
technology,bosscoder,5
positive,attitude,5
sheet,mark,5
year,offer,5
दिया,बना,5
prime,minister,5
get,direct,5
chance,percentile,5
दिया,वोट,5
come,magadh,5
pdf,sent,5
technology,intellipaat,5
political,party,5
category,political,5
pata,chalta,5
full,rit,5
ranking,got,5
get,single,5
business,analytics,5
hostel,jayega,5
proud,jadavpurian,5
obc,bed,5
kitna,number,5
बाद,उसके,5
बाद,साल,5
kerala,real,5
pune,ait,5
certificate,migration,5
new,shift,5
based,mark,5
top,branch,5
top,best,5
candidate,general,5
lpa,salary,5
top,get,5
yesterday,panen,5
certificate,income,5
dhanalakshmi,srinivasan,5
house,darbhanga,5
location,south,5
worth,taking,5
punjab,ell,5
candidate,male,5
good,reporting,5
kanpur,psit,5
proud,bhuian,5
get,cutoff,5
obc,agriculture,5
top,deserve,5
good,luck,5
know,wanna,5
good,collage,5
good,mark,5
abc,hoo,5
kharab,halat,5
email,sent,5
baad,iske,5
start,gya,5
set,reference,5
news,lallantop,5
good,want,5
kijiye,magadh,5
आपसे,निवेदन,5
धर्म,जाति,5
बीजेपी,जेडीयू,5
rha,bihar,5
admission,bba,5
score,total,5
admission,aapka,5
better,way,5
admission,procedure,5
second,ago,5
second,ravishkumar,5
admission,result,5
admission,bhopal,5
band,muh,5
admission,lunga,5
exam,online,5
में,कुछ,5
exam,class,5
coimbatore,psg,5
work,research,5
ago,ghorakhpur,5
krne,wala,5
help,confused,5
rha,kru,5
